Date,phy,zoo,nut
2004-01-05,18.10998275095543,,17.41
2004-01-14,32.46948782093483,,0.86
2004-01-21,29.587232561467786,,0.07
2004-01-29,21.279916063199476,,0.17
2004-02-04,11.587297929924658,,0.762121
2004-02-09,9.65951682825197,,0.48792899999999995
2004-02-16,13.457246352506388,,0.6155860000000001
2004-02-23,12.683393680052665,,0.41151
2004-03-01,2.9915953803506645,,1.2094690000000001
2004-03-12,4.132402062876389,,
2004-03-13,,,9.0660265
2004-03-18,7.062229233132456,,0.779523
2004-03-22,5.39545394697469,,0.38396099999999994
2004-03-29,15.858939653280668,,6.486436
2004-04-05,16.059124561708494,,0.6072000000000001
2004-04-14,4.316398588719409,,0.787154
2004-04-19,1.824825998735308,,0.89349974
2004-04-26,7.234746909516499,,0.88158965
2004-05-03,0.6609815376635658,,0.6794872399999999
2004-05-10,7.985249154939877,,0.87232465
2004-05-17,2.620740168603964,,0.97351714
2004-05-24,5.578493000886994,,0.91365513
2004-06-01,5.455026768515911,,
2004-06-07,10.122766633535132,,1.69955154
2004-06-15,8.362062390715666,,0.7573038999999999
2004-06-21,4.197480573602225,,1.10358474
2004-06-28,0.12525059283891865,,1.06836544
2004-07-06,,,0.9037709899999999
2004-07-12,0.45697104620787676,,0.7348082499999999
2004-07-19,0.23836024117788432,,0.58928481
2004-07-26,6.421265765906978,,0.8095525400000001
2004-08-02,8.536125270384652,,0.80947729
2004-08-10,1.2256178194675293,,1.0265995799999998
2004-08-15,,,1.74862747
2004-08-23,14.414777579234459,,0.15105000000000002
2004-08-30,12.438504623817828,,
2004-09-08,4.838213769987548,,0.17164999999999997
2004-09-15,8.795213155410659,,0.24000000000000002
2004-09-20,11.470182137371081,,0.403
2004-09-27,8.036163618994406,,0.291875
2004-10-04,17.324194826878855,,0.1612
2004-10-12,3.9454735588668375,,2.90725
2004-10-18,10.853963795451623,,0.26239999999999997
2004-10-25,1.5290705701635492,,10.592649999999999
2004-11-01,20.93766575754726,,0.13165
2004-11-08,1.8511551790527532,,1.92735
2004-11-15,2.0091751729371414,,8.922699999999999
2004-11-22,3.966044190362303,,18.30715
2004-11-29,2.353180033303648,,11.803450000000002
2004-12-06,4.205983152450781,,17.9648
2004-12-13,1.5510754467436496,,14.6281
2004-12-23,1.8643463085946967,,
2004-12-29,5.866725601195975,,10.3812
2005-01-07,1.1888437927007351,,17.681299999999997
2005-01-10,0.9052066554158771,,13.101624999999999
2005-01-20,0.9448944725000951,1.4060112073357107,14.09574885
2005-01-27,1.2234922381494073,,
2005-02-03,0.5996760230928782,0.0,16.31510566
2005-02-08,0.8332303840737572,0.0,9.981640330000001
2005-02-15,4.229015719286405,1.44,5.32441024
2005-02-21,5.9506180136284605,,3.34126964
2005-03-03,3.141670990861507,0.0,0.8454743200000001
2005-03-08,1.0858359677866667,0.0,0.5109663
2005-03-11,1.0583808930721375,0.0,1.19554472
2005-03-22,1.2468860784694509,0.0,7.22777244
2005-03-29,,0.0,0.66764558
2005-04-05,,0.0,2.01134559
2005-04-12,15.35239763001975,0.0,1.14998136
2005-04-21,,0.0,1.9841369100000001
2005-04-26,,0.0,1.70219354
2005-05-03,6.399256306563743,0.0,0.54730648
2005-05-10,6.496214735451079,0.0,0.59114862
2005-05-26,6.023565618899484,135.55,4.46451789
2005-05-31,6.559095419373921,3.61,2.0206619999999997
2005-06-07,3.3483494098901807,0.0,0.91131886
2005-06-14,5.504136016257833,0.072,1.26211848
2005-06-20,13.09838404267593,0.7919999999999999,1.09135924
2005-06-27,5.3388057883537625,1.476,1.23815748
2005-07-05,4.172423706706316,3.306,0.8768914399999999
2005-07-11,15.463370050381311,1.964,1.07293228
2005-07-18,6.258635560059472,30.137,1.23203052
2005-07-25,9.023744688491231,14.564,0.8819025600000001
2005-08-01,4.987724890775366,2.16,0.83202124
2005-08-08,5.256170124032631,3.97,2.07167394
2005-08-15,7.546252837831419,0.0,2.4416413800000005
2005-08-22,17.544089049224006,1.44,1.39521948
2005-08-30,4.39395184648106,0.0,0.92710376
2005-09-06,14.689201976430413,3.61,2.57537532
2005-09-12,14.984184106882125,5.446,2.0395907
2005-09-21,9.74133862210912,118.036,3.46059518
2005-09-26,3.6004709789272025,67.339,4.26578418
2005-10-03,3.0852234094630457,57.61,1.35481374
2005-10-12,3.7751205192778645,,
2005-10-17,1.2571365419205822,319.133,14.537284559999996
2005-10-21,1.5477105865387628,57.68,25.04090145
2005-10-31,1.7281790876274186,0.0,19.00297492
2005-11-04,3.2506627098348537,0.43300000000000005,17.37352704
2005-11-14,3.7514788695705725,7.282,14.67192252
2005-11-21,7.425806215359982,5.05,12.61424696
2005-11-28,1.8199363616414308,15.86,26.938592380000003
2005-12-05,2.104955819946804,2.52,15.805389320000002
2005-12-12,1.5919140319485945,4.33,13.896386
2005-12-19,1.7644497262667111,2.52,15.181108700000001
2005-12-29,7.3964268866999845,5.77,11.8117128
2006-01-04,4.940145271464552,4.69,16.19533414
2006-01-09,4.286426443968474,1.8,12.82231838
2006-01-10,,,11.109816714999997
2006-01-18,0.9233283532885835,1.8,12.38918352
2006-01-23,1.589502311877343,0.36,22.8179502
2006-01-30,2.074775058089857,1.8,12.117596449999999
2006-02-06,1.8740399385560682,0.72,13.582490100000001
2006-02-16,1.7447958048625463,,
2006-02-22,3.176362398633718,0.0,8.2373249
2006-03-01,5.030861765555644,0.0,3.1229916
2006-03-06,3.9500737121001204,0.036,0.7930419
2006-03-13,3.0432736401996245,0.36,0.8547041
2006-03-20,1.447416608172857,0.0,2.3593653000000003
